date,KansasCity,Seattle,SanJose,SanFrancisco,Austin,Pittsburgh,Boston,Chicago,NY_NJ,Philadelphia,Columbus
1994-04-01,97.56,99.2,99.98,100.38,99.8,101.37,100.38,98.48,102.04,103.51,97.75
1994-07-01,98.64,99.23,99.95,100.02,100.32,100.5,100.41,99.07,101.51,102.25,98.39
1994-10-01,99.27,98.89,99.97,98.88,100.24,99.47,99.55,99.16,99.45,101.27,99.81
1995-01-01,100,100,100,100,100,100,100,100,100,100,100
1995-04-01,101.56,100.95,101.13,100.08,102.17,101.61,102.36,101.47,101.56,101.96,101.77
1995-07-01,102.82,101.98,101.98,100.91,104.11,103.66,104.28,102.63,102.83,103.74,103.29
1995-10-01,104.11,102.78,102.44,100.95,105.01,104.32,104.79,103.56,102.93,104.28,104.7
1996-01-01,105.07,103.66,102.93,100.82,105.84,106.16,106.46,104.66,104.63,105.32,105.95
1996-04-01,106.41,104.39,104.45,100.82,106.16,105.11,106.56,104.79,104.48,103.42,107.08
1996-07-01,108,105.02,106.4,102.05,106.19,104.96,107.23,105.01,103.73,102.37,107.75
1996-10-01,109.14,105.76,108.06,103.58,107.17,106,108.76,106.07,104.02,103.39,108.92
1997-01-01,110.13,107.42,110.84,105.12,106.83,106.06,109.67,107.1,104.64,103.74,110.43
1997-04-01,111.83,110,115.91,108.07,107.17,106.85,111.52,107.65,105.67,103.4,111.1
1997-07-01,113.05,112.48,119.39,111.75,107.25,107.6,113.3,108.76,106.88,104.19,112.2
1997-10-01,114.93,114.56,122.48,114.45,109.04,108.89,115.22,109.96,108,105.32,113.53
1998-01-01,115.85,117.23,126.11,117.5,110.48,111.71,116.86,110.79,110.11,107.31,115.16
1998-04-01,117.49,120.43,131.26,121.39,111.47,111.44,119.59,111.44,111.46,107.62,115.89
1998-07-01,119.38,123.59,136.42,125.98,113.14,112.08,122.97,112.7,113.08,107.1,117.17
1998-10-01,120.68,125.07,138.45,127.95,114.67,114.23,125.18,113.44,114.1,109.15,118.71
1999-01-01,122.05,127.15,140.14,130.93,116.16,114.98,128.13,114.69,116.37,109.84,119.81
1999-04-01,125.17,130.95,144.54,136.38,119.7,114.86,132.47,116.34,118.65,110.15,121
1999-07-01,127.28,134.3,151.86,142.36,123.12,114.79,138.76,118.66,123.27,110.8,121.39
1999-10-01,129.11,135.64,157.66,150.35,126.23,114.86,142.4,120.25,125.87,111.4,122.54
2000-01-01,131.86,139.73,170.79,158.98,130.05,116.19,148.65,123.12,129.62,111.71,123.95
2000-04-01,133.66,141.88,184.17,169.83,135.29,118.06,153.74,125.77,133.53,114.64,125.52
2000-07-01,135.41,143.92,195.19,178.38,139.92,119.47,159.89,128.13,137.83,115.76,126.79
2000-10-01,137.27,145.95,203.56,184.14,142.09,121.23,163.78,129.89,140.23,117.82,128.47
2001-01-01,139.96,149.29,210.78,190.39,147.81,124.81,168.37,131.65,143.93,121.36,130.92
2001-04-01,141.79,151.83,214.56,194.09,149.93,126.19,173.64,134.23,147.35,124.2,132.17
2001-07-01,143.98,153.82,211.35,195.59,149.53,127.6,179.26,137.33,152,127.32,133.59
2001-10-01,145.81,154.58,205.17,192.9,150.32,129.14,183.37,138.93,155,129.91,134.76
2002-01-01,147.85,156.53,205.31,195.45,149.96,131.03,189.49,141.74,159.35,132.89,136.12
2002-04-01,149.54,159.13,210.58,200.21,150.33,131.76,196.81,144.81,165.11,136.33,137.27
2002-07-01,151.68,160.9,214.39,204.98,152.73,133.9,203.13,147.22,170.6,140.75,138.89
2002-10-01,152.93,161.88,216.23,206.9,153.32,135.47,208.16,149.14,174.2,144.22,139.69
2003-01-01,154.5,163.34,216.15,208.98,153.31,136.75,212.9,150.99,177.81,146.64,140.98
2003-04-01,155.63,164.73,215.6,209.93,153.28,138.09,216.8,152.85,181.34,149.57,142
2003-07-01,156.79,166.59,216.29,211.97,152.16,139.45,220.77,155.29,184.7,153.92,143.17
2003-10-01,159.88,170.86,220.86,219.06,152.98,142.03,231.21,160.92,194.22,160.31,145.66
